Date,"['AAPL', 'GOOG', 'AMZN', 'MSFT']_RSI","['AAPL', 'GOOG', 'AMZN', 'MSFT']_MACD","['AAPL', 'GOOG', 'AMZN', 'MSFT']_RSI","['AAPL', 'GOOG', 'AMZN', 'MSFT']_MACD","['AAPL', 'GOOG', 'AMZN', 'MSFT']_RSI","['AAPL', 'GOOG', 'AMZN', 'MSFT']_MACD","['AAPL', 'GOOG', 'AMZN', 'MSFT']_RSI","['AAPL', 'GOOG', 'AMZN', 'MSFT']_MACD"
2017-04-19,47.632426290673315,-0.14909815400030385,58.37746951718694,0.0411305511762752,60.749318414074914,-0.018417188170361087,48.26688619671053,-0.08450981526387669
2017-04-20,56.461643809004435,-0.12186165089793616,61.156727811816246,0.06358273480176566,61.983230963166655,-0.028708410308599275,54.742353971910404,-0.06618225070876502
2017-04-21,55.48873869404477,-0.10355131040011167,62.36823802926015,0.07903500953661025,59.49708305149671,-0.051005817806318854,64.18759949454906,-0.0009938211666805086
2017-04-24,61.280283361784925,-0.06876336348088713,73.6254087821044,0.14636993391548525,63.46678867393715,-0.039944332015680706,72.06930808517876,0.10348236597785684
2017-04-25,64.51104673721454,-0.03241894553773669,77.2051553189846,0.21050666994513412,63.557768421700004,-0.036127812376123725,74.18131409825125,0.18397761348222397
2017-04-26,59.412446181339924,-0.02268922943047888,76.53672657278548,0.23668917598204864,64.3186250935974,-0.03231145802062774,72.81293990688465,0.21697996318766588
2017-04-27,59.854701097439815,-0.01588759111392274,77.46561918910145,0.24698422733738282,68.20933172860362,-0.0049453724591090875,75.21947042763983,0.24871116913476854
2017-04-28,58.974093826250474,-0.014942652679837437,85.33370660175304,0.33892114036772564,70.71040390870692,0.027844742542557532,76.1993131423551,0.2629257745053707
2017-05-01,69.19084127131613,0.027764214616966376,86.39972879258573,0.3967244698293841,77.43276401589544,0.11531636659306221,80.37682674996486,0.3088680414097166
2017-05-02,71.60772578853943,0.06473657247289638,86.9956884521284,0.42049698163717497,76.3847992713629,0.1539408500500078,78.65529921445372,0.3101426096481188
2017-05-03,68.79508819567033,0.07559831065737566,88.48419749582098,0.44210879080157195,71.603473199971,0.1448312110087856,75.18650034287037,0.27626935001134234
2017-05-04,65.53091844998326,0.06816958114395033,89.07134067106311,0.44123385123333136,68.8547185946066,0.11364037769704405,71.04592125219662,0.2186156218847619
2017-05-05,72.07365467295006,0.09333115045904661,84.52080803784703,0.39624603727704366,66.2113000323728,0.07036848430655485,72.20597955791935,0.17524435576695774
2017-05-08,79.17002899455548,0.16136875592427735,85.76080262144899,0.36222208995057936,71.41726784907294,0.07992972011617683,71.23513646874675,0.1282067079183159
2017-05-09,80.46370694174739,0.20689849544821615,83.6178459726146,0.30649236656083323,72.57256970610317,0.08647163178175699,71.91293940647296,0.09032134298416805
2017-05-10,76.64523200409099,0.21014804103146045,80.18375358350093,0.2353792627568576,69.4763236402356,0.06617082847347555,73.71338900886047,0.06980385260137567
