#{"t_start": 1747926801.86434, "env_id": "None"}
r,l,t
0.919236,365,524.661745
0.807836,365,525.100948
0.564709,365,525.531053
0.883101,365,525.955294
0.935695,365,526.377308
0.843119,365,528.479069
1.045399,365,528.691228
1.070752,365,528.87978
0.733844,365,529.094557
0.880787,365,529.285216
0.906165,365,530.727117
0.850749,365,530.946479
1.071467,365,531.145686
1.042182,365,531.350152
0.934318,365,531.554945
0.917215,365,531.754538
0.913982,365,534.207608
0.951032,365,534.64355
1.001785,365,535.064588
1.00799,365,535.487108
0.800995,365,535.924849
0.663796,365,536.349595
0.963045,365,538.540637
1.007382,365,538.722983
0.904711,365,538.896649
0.835014,365,539.09476
1.138302,365,539.270454
0.794107,365,540.786952
0.973689,365,540.99139
0.925092,365,541.177709
0.888168,365,541.351935
0.870278,365,541.541312
0.844145,365,541.727602
1.151607,365,543.325712
0.877579,365,543.529574
0.88427,365,543.737076
0.830141,365,543.937085
0.743594,365,544.143096
1.045686,365,545.895527
1.010066,365,546.17258
0.870127,365,546.376925
0.894316,365,546.584298
0.99488,365,546.783452
0.72548,365,546.988624
0.848309,365,548.47277
0.860429,365,548.688614
0.837431,365,548.893159
0.882797,365,549.11263
0.592314,365,549.31564
1.013671,365,549.552719
1.056108,365,552.205418
1.055506,365,552.641104
0.877173,365,553.062662
1.029052,365,553.50032
0.998707,365,553.924383
0.905351,365,556.313049
1.057888,365,556.529063
0.994456,365,556.705713
0.993236,365,556.879772
0.908045,365,557.077898
0.923302,365,557.251988
0.848334,365,558.674103
1.117307,365,558.879761
0.887159,365,559.086486
0.904752,365,559.288348
0.962708,365,559.493804
0.973061,365,559.70165
1.218728,365,562.061179
1.019084,365,562.50184
1.003512,365,562.924124
1.0892,365,563.362426
0.789125,365,563.782413
0.964409,365,566.266237
1.167932,365,566.485711
0.944648,365,566.671432
1.022706,365,566.845109
1.12785,365,567.049304
0.974927,365,567.251657
1.012795,365,568.704879
0.947484,365,568.881276
0.814625,365,569.077202
1.03249,365,569.257345
1.221676,365,569.430223
0.868943,365,571.501911
1.142359,365,571.923713
0.992132,365,572.35902
0.941442,365,572.779139
1.00518,365,573.217642
1.188006,365,573.63852
1.024704,365,576.154002
1.013689,365,576.595079
0.923037,365,577.019179
1.069791,365,577.443293
1.047407,365,577.880835
0.726897,365,578.30491
1.0864,365,580.653899
1.050422,365,580.858893
0.941208,365,581.06444
0.696953,365,581.248276
0.717606,365,581.455612
0.86851,365,582.890336
1.059574,365,583.08858
0.959328,365,583.281086
0.631171,365,583.470024
0.922137,365,583.654465
0.937357,365,583.843269
0.991529,365,586.169834
1.242424,365,586.60077
1.033041,365,587.02281
1.100225,365,587.445311
1.254423,365,587.868237
0.924467,365,590.406111
1.049444,365,590.620965
0.916959,365,590.825038
1.032929,365,591.019398
0.977531,365,591.229966
0.820196,365,591.418783
0.998158,365,592.787804
0.81749,365,592.982233
0.961972,365,593.168095
